,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni
0,Immobile,a,LAZ,33,"6,58","9,29",29,0,7 / 8,0,8,3,1
1,Icardi,a,INT,34,"6,35","8,82",29,0,6 / 7,0,1,2,0
2,Diabate',a,BEN,10,"6,2","8,5",8,0,0 / 0,0,0,0,1
3,Dybala,a,JUV,33,"6,45","8,42",22,0,3 / 5,0,5,0,0
4,Tumminello,a,CRO,5,"6,2","8,2",3,0,0 / 0,0,1,1,0
5,Quagliarella,a,SAM,35,"6,21","7,84",19,0,7 / 8,0,5,4,0
6,Ilicic,c,ATA,31,"6,5","7,77",11,0,2 / 2,0,8,3,0
7,Luis Alberto,c,LAZ,34,"6,46","7,65",11,0,1 / 2,0,13,5,0
8,Mertens,a,NAP,38,"6,20","7,64",18,0,4 / 5,0,6,4,0
9,Dzeko,a,ROM,36,"6,25","7,61",16,0,0 / 0,0,4,6,0
10,Barrow,a,ATA,9,"6,5","7,61",3,0,0 / 0,0,1,0,0
11,Higuain,a,JUV,33,"6,14","7,53",16,0,1 / 2,0,3,4,0
12,Simy,a,CRO,17,"6,24","7,53",7,0,0 / 0,0,1,0,0
13,Milinkovic-Savic,c,LAZ,35,"6,5","7,5",12,0,0 / 0,0,3,8,0
14,Antenucci,a,SPA,32,"6,30","7,5",11,0,5 / 5,0,6,1,0
15,Ghoulam,d,NAP,11,"6,64","7,41",2,0,0 / 0,0,3,1,0
16,Zapata D.,a,SAM,30,"6,22","7,4",11,0,0 / 0,0,3,1,0
17,Lasagna,a,UDI,29,"6,12","7,38",12,0,0 / 0,0,1,1,0
18,Bernardeschi,c,JUV,16,"6,38","7,38",4,0,0 / 0,0,5,4,0
19,Iago Falque,a,TOR,36,"6,21","7,38",12,0,0 / 0,0,7,2,0
20,Milik,a,NAP,12,"6,21","7,38",5,0,0 / 0,0,0,2,0
21,Verdi,c,BOL,33,"6,21","7,36",10,0,2 / 2,0,9,2,0
22,Ljajic,a,TOR,27,"6,39","7,35",6,0,0 / 0,0,9,2,0
23,Cutrone,a,MIL,25,"6,12","7,34",10,0,0 / 0,0,2,3,0
24,Insigne,a,NAP,37,"6,42","7,28",8,0,1 / 1,0,10,4,0
25,Under,c,ROM,20,"6,15","7,25",7,0,0 / 0,0,1,0,0
26,Felipe Anderson,c,LAZ,21,"6,38","7,24",4,0,0 / 0,0,6,0,0
27,Cuadrado,c,JUV,20,"6,45","7,22",4,0,0 / 0,0,6,5,0
28,Okwonkwo,a,BOL,7,"6,07","7,21",3,0,0 / 0,0,0,2,0
29,Callejon,a,NAP,38,"6,16","7,20",10,0,0 / 0,0,11,3,0
30,Khedira,c,JUV,26,"6,10","7,19",9,0,0 / 0,0,2,1,0
31,Simeone,a,FIO,38,"5,93","7,11",14,0,0 / 0,0,4,3,0
32,Douglas Costa,c,JUV,31,"6,39","7,11",4,0,0 / 0,0,11,1,0
33,Thereau,a,FIO,20,"5,95","7,1",7,0,4 / 4,0,3,2,0
34,Perisic,c,INT,37,"5,99","7,01",11,0,0 / 0,0,9,4,0
35,Pellegri,a,GEN,4,"5,75","7,0",2,0,0 / 0,0,0,2,0
36,Gomez,a,ATA,33,"6,29","6,98",6,0,2 / 3,0,9,2,0
37,Inglese,a,CHI,33,"6,0","6,98",12,0,1 / 2,0,1,3,0
38,Rafinha,c,INT,16,"6,44","6,91",2,0,0 / 0,0,2,1,0
39,Pjanic,c,JUV,31,"6,31","6,90",5,0,0 / 0,0,8,5,0
40,Obi,c,TOR,20,"6,18","6,9",5,0,0 / 0,0,1,3,0
41,Politano,a,SAS,36,"6,11","6,88",10,0,0 / 2,0,4,1,0
42,Stepinski,a,CHI,16,"5,97","6,88",5,0,0 / 0,0,0,1,0
43,Pavoletti,a,CAG,33,"5,97","6,85",11,0,0 / 0,0,0,8,0
44,Suso,c,MIL,35,"6,19","6,84",6,0,0 / 0,0,7,2,1
45,Bonaventura,c,MIL,32,"6,03","6,83",8,0,0 / 0,0,3,3,0
46,Howedes,d,JUV,3,"6,0","6,83",1,0,0 / 0,0,0,1,0
47,Cristante,c,ATA,36,"6,11","6,82",9,0,0 / 1,0,3,3,0
48,Belotti,a,TOR,32,"5,98","6,80",10,0,0 / 2,0,3,2,0
49,El Shaarawy,a,ROM,32,"6,0","6,80",7,0,0 / 0,0,5,1,0
50,Brozovic,c,INT,28,"6,20","6,79",4,0,0 / 0,0,9,9,0
51,De Vrij,d,LAZ,36,"6,31","6,79",6,0,0 / 0,0,1,3,0
52,Edera,a,TOR,7,"6,21","6,79",1,0,0 / 0,0,1,0,0
53,Chiesa,c,FIO,36,"6,28","6,79",6,0,0 / 0,0,4,7,0
54,Nainggolan,c,ROM,31,"6,23","6,77",4,0,0 / 0,0,9,6,1
55,Kownacki,a,SAM,20,"5,95","6,75",5,0,0 / 0,0,1,0,0
56,Nani,a,LAZ,14,"5,96","6,75",3,0,0 / 0,0,3,2,0
57,Medeiros,c,GEN,10,"6,1","6,75",2,0,0 / 0,0,1,1,0
58,Calhanoglu,c,MIL,31,"6,15","6,74",6,0,0 / 0,0,4,5,1
59,Allan,c,NAP,37,"6,32","6,73",4,0,0 / 0,0,4,2,0
60,Guilherme,c,BEN,12,"6,08","6,71",2,0,0 / 0,0,2,1,0
61,Barak,c,UDI,34,"6,03","6,69",7,0,0 / 0,0,4,5,0
62,Perotti,c,ROM,23,"6,11","6,67",5,0,2 / 4,0,4,0,0
63,Giaccherini,c,CHI,15,"6,13","6,63",3,0,0 / 0,0,1,6,0
64,Babacar,a,SAS,28,"5,93","6,62",6,0,3 / 3,0,2,1,0
65,De Sciglio,d,JUV,12,"6,42","6,62",1,0,0 / 0,0,0,1,0
66,Simic L,d,SPA,4,"6,0","6,62",1,0,0 / 0,0,0,1,0
67,Brignola,a,BEN,18,"6,14","6,61",3,0,0 / 0,0,2,5,0
68,Masiello,d,ATA,31,"6,29","6,60",4,0,0 / 0,0,0,5,0
69,Veretout,c,FIO,36,"6,14","6,60",8,0,2 / 3,0,1,9,1
70,Freuler,c,ATA,35,"6,19","6,59",5,0,0 / 0,0,2,4,1
71,Kolarov,d,ROM,35,"6,26","6,59",2,0,0 / 0,0,7,3,0
72,Koulibaly,d,NAP,35,"6,24","6,57",5,0,0 / 0,0,0,5,1
73,Hamsik,c,NAP,38,"6,01","6,57",7,0,0 / 0,0,1,2,0
74,Rizzo,c,ATA,10,"5,95","6,55",2,0,0 / 0,0,0,0,0
75,Destro,a,BOL,25,"5,8","6,54",6,0,0 / 0,0,2,3,0
76,Skriniar,d,INT,38,"6,29","6,53",4,0,0 / 0,0,0,2,0
77,Caceres,d,LAZ,20,"5,95","6,52",4,0,0 / 0,0,1,3,0
78,Parolo,c,LAZ,31,"6,03","6,52",4,0,0 / 0,0,5,2,1
79,Skorupski,p,ROM,1,"6,5","6,5",0,0,0 / 0,0,0,0,0
80,Floccari,a,SPA,16,"5,94","6,5",3,0,0 / 0,0,0,0,0
81,Alex Sandro,d,JUV,26,"6,04","6,5",4,0,0 / 0,0,4,8,0
82,Barella,c,CAG,34,"6,16","6,5",6,0,3 / 3,0,1,13,1
83,Ciciretti,c,BEN,12,"6,0","6,5",2,0,0 / 0,0,0,0,0
84,Antonucci,a,ROM,2,"6,0","6,5",0,0,0 / 0,0,1,0,0
85,Torreira,c,SAM,36,"6,21","6,49",4,0,0 / 0,0,1,6,0
86,Castro,c,CHI,25,"6,06","6,48",3,0,0 / 0,0,3,3,0
87,Zielinski,c,NAP,36,"6,15","6,47",4,0,0 / 0,0,1,3,0
88,Trotta,a,CRO,32,"5,86","6,45",7,0,2 / 3,0,2,2,0
89,De Silvestri,d,TOR,35,"6,03","6,44",5,0,0 / 0,0,2,3,1
90,Palacio,a,BOL,27,"6,07","6,43",4,0,0 / 0,0,2,9,0
91,Albiol,d,NAP,31,"6,21","6,42",3,0,0 / 0,0,1,7,0
92,Eder,a,INT,18,"5,97","6,42",3,0,0 / 0,0,0,4,0
93,Bastos,d,LAZ,20,"5,92","6,42",4,0,0 / 0,0,0,4,0
94,Galabinov,a,GEN,19,"5,89","6,42",3,0,1 / 1,0,2,2,0
95,Mandzukic,a,JUV,32,"5,95","6,41",5,0,0 / 0,0,2,3,1
96,Benali,c,CRO,10,"6,1","6,4",1,0,0 / 0,0,1,2,0
97,Budimir,a,CRO,21,"5,74","6,40",6,0,0 / 0,0,0,8,0
