,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
0,Quagliarella,a,SAM,37,"6,5","8,70",26,0,9 / 10,0,7,1,0,35,-
1,Ronaldo,a,JUV,31,"6,53","8,65",21,0,5 / 6,0,7,3,0,41,-
2,Zapata D.,a,ATA,37,"6,46","8,36",23,0,1 / 2,0,7,5,0,32,-
3,Kean,a,JUV,10,"6,4","8,1",6,0,0 / 0,0,0,2,0,10,-
4,Piatek,a,MIL,37,"6,35","8,07",22,0,2 / 2,0,0,5,0,28,-
5,Mertens,a,NAP,35,"6,29","7,93",16,0,1 / 1,0,10,1,0,33,-
6,Pavoletti,a,CAG,32,"6,19","7,62",16,0,0 / 0,0,1,6,0,23,-
7,Milik,a,NAP,35,"6,11","7,57",17,0,0 / 0,0,2,4,0,25,-
8,Ilicic,c,ATA,31,"6,40","7,56",12,0,0 / 1,0,6,4,1,26,-
9,Mandzukic,a,JUV,25,"6,3","7,54",9,0,0 / 0,0,6,4,0,23,-
10,Okaka,a,UDI,14,"6,25","7,46",6,0,0 / 0,0,1,4,0,16,-
11,El Shaarawy,a,ROM,28,"6,20","7,45",11,0,0 / 0,0,3,2,0,20,-
12,Immobile,a,LAZ,35,"6,06","7,43",15,0,4 / 4,0,6,6,0,31,-
13,Destro,a,BOL,9,"6,11","7,39",4,0,0 / 0,0,1,3,0,13,-
14,Bonaventura,c,MIL,8,"6,19","7,31",3,0,0 / 0,0,0,0,0,17,-
15,Petagna,a,SPA,36,"6,08","7,31",16,0,6 / 6,0,0,8,0,22,-
16,Belotti,a,TOR,37,"6,22","7,31",15,0,5 / 6,0,1,5,0,27,-
17,Gervinho,a,PAR,29,"6,14","7,29",11,0,0 / 0,0,2,3,0,16,-
18,Inglese,a,PAR,24,"6,10","7,25",9,0,2 / 2,0,2,3,0,18,-
19,Boateng,c,SAS,13,"6,27","7,23",4,0,2 / 2,0,1,1,0,20,-
20,Caicedo,a,LAZ,23,"6,13","7,17",8,0,1 / 1,0,2,4,0,13,-
21,Insigne,a,NAP,28,"6,16","7,16",10,0,1 / 2,0,5,6,1,23,-
22,Gomez,a,ATA,35,"6,33","7,14",7,0,0 / 0,0,10,5,0,24,-
23,Iago Falque,a,TOR,25,"6,28","7,14",6,0,0 / 0,0,4,1,0,25,-
24,Younes,a,NAP,11,"6,18","7,14",3,0,0 / 0,0,2,1,0,9,-
25,Caputo,a,EMP,38,"6,08","7,14",16,0,3 / 6,0,3,3,0,20,-
26,Perotti,c,ROM,13,"6,08","7,12",5,0,3 / 3,0,0,3,0,13,-
27,Icardi,a,INT,29,"5,91","7,09",11,0,5 / 6,0,4,0,0,26,-
28,Orsolini,a,BOL,31,"6,16","7,03",8,0,0 / 0,0,4,2,0,16,-
29,Defrel,a,SAM,35,"5,99","6,96",11,0,0 / 0,0,2,2,0,21,-
30,Gagliardini,c,INT,15,"6,07","6,93",5,0,0 / 0,0,0,4,0,10,-
31,Caprari,a,SAM,21,"6,0","6,93",6,0,0 / 0,0,2,1,0,12,-
32,Santander,a,BOL,29,"6,03","6,90",8,0,0 / 0,0,3,5,0,15,-
33,Nainggolan,c,INT,28,"6,18","6,88",6,0,0 / 0,0,3,3,0,22,-
34,Higuain,a,MIL,15,"5,93","6,87",6,0,0 / 1,0,1,2,1,26,-
35,Muriel,a,FIO,19,"5,95","6,87",6,0,0 / 0,0,0,1,0,21,-
36,Suso,a,MIL,35,"6,14","6,86",7,0,0 / 0,0,9,8,1,20,-
37,Dzeko,a,ROM,32,"6,0","6,86",9,0,0 / 0,0,5,9,0,25,-
38,Martinez L.,a,INT,22,"6,09","6,86",6,0,1 / 1,0,1,4,0,15,-
39,Ruiz,c,NAP,27,"6,26","6,85",5,0,0 / 0,0,3,2,1,16,-
40,Pellissier,a,CHI,14,"6,14","6,82",4,0,1 / 2,0,1,1,0,8,-
41,De Paul,c,UDI,36,"6,21","6,81",9,0,3 / 6,0,7,7,0,23,-
42,Chiesa,c,FIO,37,"6,32","6,81",6,0,0 / 0,0,2,4,0,22,-
43,Correa,c,LAZ,34,"6,28","6,79",5,0,0 / 0,0,5,5,0,17,-
44,Babacar,a,SAS,26,"5,88","6,77",7,0,2 / 2,0,2,0,0,14,-
45,Callejon,a,NAP,33,"6,20","6,76",3,0,0 / 0,0,10,1,0,21,-
46,Berardi,a,SAS,35,"6,09","6,76",8,0,1 / 1,0,3,5,1,19,-
47,Ansaldi,d,TOR,24,"6,35","6,75",3,0,0 / 0,0,2,3,0,14,-
48,Keita B.,a,INT,21,"6,0","6,74",5,0,0 / 0,0,2,1,1,19,-
49,Farias,a,EMP,31,"6,0","6,74",7,0,0 / 0,0,4,4,0,15,-
