,role,player,team,games,fm,cost
23,p,Rui Patricio,ROM,4,"5,88",24.0
24,p,Provedel,LAZ,4,"5,62",9.0
22,p,Sepe,SAL,4,"6,0",7.0
7,d,Smalling,ROM,4,"7,38",17.5
12,d,Bastoni S.,SPE,4,"7,0",12.5
9,d,Ibanez,ROM,4,"7,25",8.5
6,d,Parisi,EMP,4,"7,5",7.0
18,d,Kyriakopoulos,SAS,4,"6,38",7.0
14,d,Masina,UDI,4,"6,75",6.0
20,d,Djidji,TOR,4,"6,12",4.0
21,d,Ismajli,EMP,4,"6,12",4.0
4,c,Kvaratskhelia,NAP,4,"9,25",67.5
2,c,Koopmeiners,ATA,4,"9,62",20.0
17,c,Candreva,SAL,4,"6,38",17.5
0,c,Miranchuk,TOR,1,"10,0",15.0
16,c,Zambo Anguissa,NAP,4,"6,5",10.0
13,c,Elmas,NAP,4,"6,88",7.0
15,c,Miretti,JUV,4,"6,75",6.0
19,c,Hjulmand,LEC,4,"6,38",5.0
5,a,Arnautovic,BOL,4,"8,38",70.0
10,a,Sanabria,TOR,4,"7,12",38.5
3,a,Dia,SAL,3,"9,33",26.0
8,a,Bonazzoli,SAL,4,"7,25",20.0
11,a,Lookman,ATA,4,"7,12",16.0
1,a,Kallon,VER,1,"10,0",1.0
