;Id;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti;;;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti
0;0;17,43073684;1,276842105;5,401894737;4,752;0;0;0;0;6;0;;MAX;41,19114035;6,58;14,724;11,57652632;9,675;5;0;0;7,5;0
1;1;41,19114035;5,776842105;14,724;11,14863158;8,766666667;0;-5,225;0;6;0;;MIN;-45,33947368;0;0;0;0;0;-43,06666667;-2,714285714;1,5;-50
2;2;13,15856842;4,2112;2,6;1,847368421;0;0;0;0;4,5;0;;;;;;;;;;;;
3;3;19,78366228;5,474736842;9,258947368;7,397894737;3,333333333;0;-8,68125;0;3;0;;;;;;;;;;;;
4;4;19,62210526;6,58;3,215789474;2,326315789;0;0;0;0;7,5;0;;;;;;;;;;;;
5;5;14,63227113;2,504736842;7,934052632;6,887421053;0;0;-9,349494949;-0,844444444;7,5;0;;;;;;;;;;;;
6;6;24,51368421;4,843157895;7,666315789;6,704210526;2;0;-4,2;0;7,5;0;;;;;;;;;;;;
7;7;25,48908925;4,87;12,68705263;10,63994737;0;0;-10,20791075;0;7,5;0;;;;;;;;;;;;
8;8;6,173852632;1,0528;1,197368421;0,923684211;0;0;0;0;3;0;;;;;;;;;;;;
9;9;11,51753684;2,3688;1,779631579;1,369105263;0;0;0;0;6;0;;;;;;;;;;;;
10;10;27,34566507;5,645789474;14,18731579;11,31710526;2,7;0;-11,00454545;0;4,5;0;;;;;;;;;;;;
11;11;17,20894737;6,58;2,805263158;2,223684211;0;0;-0,4;0;6;0;;;;;;;;;;;;
12;12;21,37557374;3,336842105;9,567263158;8,272842105;0,6;0;-4,087087912;-0,814285714;4,5;0;;;;;;;;;;;;
13;13;14,5898;0,889536842;3,299210526;2,901052632;0;0;0;0;7,5;0;;;;;;;;;;;;
14;14;0,252834008;0,526315789;3,050263158;2,883947368;0;0;-9,207692308;0;3;0;;;;;;;;;;;;
15;15;6,037010526;1,0528;1,094736842;0,889473684;0;0;0;0;3;0;;;;;;;;;;;;
16;16;10,53701053;1,0528;1,094736842;0,889473684;0;0;0;0;7,5;0;;;;;;;;;;;;
17;17;23,092;3,133157895;9,882;8,451842105;0,5;0;-4,875;0;6;0;;;;;;;;;;;;
18;18;18,0714935;3,401578947;8,141578947;7,457747368;0;0;-8,429411765;0;7,5;0;;;;;;;;;;;;
19;19;34,62872308;5,588421053;12,42178947;10,95642105;0;0;-1,837908497;0;7,5;0;;;;;;;;;;;;
20;20;11,24248421;2,3688;1,574368421;1,299315789;0;0;0;0;6;0;;;;;;;;;;;;
21;21;16,00638947;3,587263158;4,113694737;3,805431579;0;0;0;0;4,5;0;;;;;;;;;;;;
22;22;23,0741833;4,993157895;7,993947368;6,690526316;2;0;-6,103448276;0;7,5;0;;;;;;;;;;;;
23;23;25,13921053;4,843157895;7,727368421;6,493684211;0;0;-1,425;0;7,5;0;;;;;;;;;;;;
24;24;18,50368421;6,58;2,6;2,223684211;0;0;-0,4;0;7,5;0;;;;;;;;;;;;
25;25;22,84654737;3,482210526;6,386842105;4,877494737;3,6;0;0;0;4,5;0;;;;;;;;;;;;
26;26;16,26496686;3,327894737;10,75642105;8,826947368;0;0;-12,73888889;-1,407407407;7,5;0;;;;;;;;;;;;
27;27;11,72333999;3,409473684;9,178052632;8,510526316;0;0;-11,71954023;-0,655172414;3;0;;;;;;;;;;;;
28;28;30,99414005;4,963157895;13,73789474;10,59131579;6,644444444;0;-8,79124424;-0,651428571;4,5;0;;;;;;;;;;;;
29;29;12,7782807;1,717368421;6,353368421;6,074210526;0;0;-8,866666667;0;7,5;0;;;;;;;;;;;;
30;30;17,36947368;6,58;2,531578947;2,257894737;0;0;0;0;6;0;;;;;;;;;;;;
31;31;17,68885091;4,082105263;10,36088421;9,145621053;0;0;-9,522836538;-0,876923077;4,5;0;;;;;;;;;;;;
32;32;18,93944389;4,325789474;9,739136842;9,104557895;0;0;-8,117137097;-0,612903226;4,5;0;;;;;;;;;;;;
33;33;15,87536142;3,717368421;9,593263158;8,913578947;1,1;0;-14,12276215;-0,826086957;7,5;0;;;;;;;;;;;;
34;34;18,80105263;6,58;2,497368421;2,223684211;0;0;0;0;7,5;0;;;;;;;;;;;;
35;35;12,92844394;4,172105263;5,846052632;5,692894737;0;0;-5,782608696;0;3;0;;;;;;;;;;;;
36;36;15,3492275;5,308947368;7,754736842;6,859736842;0;0;-6,348387097;-1,225806452;3;0;;;;;;;;;;;;
37;37;4,331747368;1,0528;0,992105263;0,786842105;0;0;0;0;1,5;0;;;;;;;;;;;;
38;38;10,97435789;4,2112;1,984210526;1,778947368;0;0;0;0;3;0;;;;;;;;;;;;
39;39;18,54715746;3,409473684;8,971684211;8,705736842;0;0;-10,03973727;0;7,5;0;;;;;;;;;;;;
40;40;23,42258054;5,443157895;10,80973684;10,54847368;0;0;-10,87878788;0;7,5;0;;;;;;;;;;;;
41;41;13,5745614;2,339473684;8,006842105;6,961578947;3,4;0;-10,13333333;0;3;0;;;;;;;;;;;;
42;42;5,06995;1,208947368;5,986126316;5,156126316;0,6;0;-9,38125;0;1,5;0;;;;;;;;;;;;
43;43;17,39008639;2,963157895;7,716705263;7,461947368;0;0;-6,751724138;0;6;0;;;;;;;;;;;;
44;44;5,686673171;2,002631579;4,767642105;5,549326316;0;1;-0,59375;-0,35625;6;-12,68292683;;;;;;;;;;;;
45;45;13,91975038;2,274210526;7,721010526;6,783957895;0;0;-8,859428571;0;6;0;;;;;;;;;;;;
46;46;28,79753628;4,895263158;10,97974737;10,08005263;0;0;-4,657526882;0;7,5;0;;;;;;;;;;;;
47;47;21,39814649;4,305263158;10,67690526;9,463894737;0,6;0;-11,14791667;0;7,5;0;;;;;;;;;;;;
48;48;23,41810817;3,52;9,1538;8,433273684;0;0;-5,188965517;0;7,5;0;;;;;;;;;;;;
49;49;11,32639746;4,993157895;7,217894737;6,405;0;0;-7,479310345;-1,310344828;1,5;0;;;;;;;;;;;;
50;50;11,49796774;2,967368421;8,077157895;7,882473684;0;0;-14,92903226;0;7,5;0;;;;;;;;;;;;
51;51;-1,868684211;0,417368421;2,653421053;2,435526316;0;0;-14,875;0;7,5;0;;;;;;;;;;;;
52;52;19,09762406;2,454210526;7,720105263;7,394736842;0;0;-4,471428571;0;6;0;;;;;;;;;;;;
53;53;15,30537065;2,976989474;6,191052632;5,667631579;0;0;-4,03030303;0;4,5;0;;;;;;;;;;;;
54;54;19,12897544;3,369221053;6,142105263;6,024315789;0;0;-1,773333333;-0,633333333;6;0;;;;;;;;;;;;
55;55;6,537221053;2,3688;1,436842105;1,231578947;0;0;0;0;1,5;0;;;;;;;;;;;;
56;56;6,537221053;2,3688;1,436842105;1,231578947;0;0;0;0;1,5;0;;;;;;;;;;;;
57;57;26,09684211;6,58;8,848947368;7,967894737;0;0;-1,8;0;4,5;0;;;;;;;;;;;;
58;58;15,46320883;3,384210526;9,378157895;8,323421053;2;0;-12,12258065;0;4,5;0;;;;;;;;;;;;
59;59;28,05433713;5,719473684;13,02026316;11,37878947;0;0;-6,050675676;-0,513513514;4,5;0;;;;;;;;;;;;
