,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
0,Gagliano,a,CAG,1,"7,5","11,5",1,0,0 / 0,0,1,0,0,1,-
1,Diallo Am.,a,ATA,1,"7,0","10,0",1,0,0 / 0,0,0,0,0,1,-
2,Immobile,a,LAZ,37,"6,58","9,5",36,0,14 / 15,0,7,8,0,50,-
3,Ronaldo,a,JUV,33,"6,56","9,33",31,0,12 / 13,0,3,3,0,48,-
4,Zapata D.,a,ATA,28,"6,5","8,62",18,0,1 / 1,0,6,1,0,40,-
5,Reina,p,MIL,1,"6,5","8,5",0,1,0 / 0,1,0,0,0,1,-
6,Ilicic,a,ATA,25,"6,52","8,42",15,0,0 / 0,0,4,1,1,34,-
7,Lukaku,a,INT,36,"6,40","8,32",23,0,6 / 6,0,1,2,0,38,-
8,Caputo,a,SAS,34,"6,34","8,32",21,0,2 / 2,0,6,3,0,37,-
9,Ibrahimovic,a,MIL,18,"6,53","8,17",10,0,2 / 3,0,3,1,0,35,-
10,Dzeko,a,ROM,35,"6,54","7,97",16,0,0 / 0,0,4,4,0,34,-
11,Cornelius,a,PAR,23,"6,33","7,96",12,0,0 / 0,0,2,1,0,26,-
12,Muriel,a,ATA,31,"6,26","7,92",18,0,6 / 7,0,1,1,0,34,-
13,Berardi,a,SAS,31,"6,53","7,89",14,0,2 / 3,0,7,6,1,32,-
14,Dybala,a,JUV,32,"6,70","7,88",11,0,1 / 1,0,7,5,0,31,-
15,Kalinic,a,ROM,10,"6,2","7,8",5,0,0 / 0,0,1,1,0,5,-
16,Rebic,a,MIL,22,"6,27","7,77",11,0,0 / 0,0,2,5,0,27,-
17,Gomez,c,ATA,36,"6,69","7,61",7,0,0 / 0,0,13,2,0,30,-
18,Mkhitaryan,c,ROM,22,"6,25","7,59",9,0,0 / 0,0,5,5,0,25,-
19,Pazzini,a,VER,9,"6,22","7,56",4,0,3 / 3,0,0,0,0,4,-
20,Joao Pedro,a,CAG,36,"6,19","7,56",18,0,4 / 6,0,4,6,0,28,-
21,Luis Alberto,c,LAZ,36,"6,60","7,44",6,0,1 / 1,0,15,5,0,27,-
22,Kulusevski,c,PAR,36,"6,40","7,42",10,0,1 / 1,0,8,3,0,27,-
23,Belotti,a,TOR,35,"6,16","7,41",16,0,7 / 8,0,3,4,0,28,-
24,Sanchez,a,INT,17,"6,35","7,41",4,0,1 / 1,0,8,2,1,21,-
25,Kouame',a,FIO,18,"6,25","7,39",6,0,0 / 0,0,3,1,0,19,-
26,Juwara,a,BOL,3,"6,5","7,33",1,0,0 / 0,0,0,1,0,6,-
27,Singo,d,TOR,3,"6,33","7,33",1,0,0 / 0,0,0,0,0,5,-
28,Gosens,d,ATA,33,"6,33","7,32",9,0,0 / 0,0,7,3,0,27,-
29,Barrow,a,BOL,25,"6,18","7,32",9,0,1 / 2,0,5,1,0,22,-
30,Lapadula,a,LEC,24,"6,15","7,31",11,0,2 / 2,0,0,8,1,21,-
31,Boga,a,SAS,33,"6,24","7,30",11,0,0 / 0,0,2,0,0,24,-
32,Milik,a,NAP,26,"6,12","7,29",11,0,0 / 0,0,0,5,0,23,-
33,Nainggolan,c,CAG,26,"6,44","7,23",6,0,0 / 0,0,5,5,0,22,-
34,Martinez L.,a,INT,35,"6,14","7,21",14,0,2 / 3,0,3,7,1,27,-
35,Raspadori,a,SAS,7,"6,36","7,21",2,0,0 / 0,0,0,0,0,12,-
36,Mertens,a,NAP,31,"6,19","7,18",9,0,0 / 0,0,6,5,0,23,-
37,Pandev,a,GEN,29,"6,24","7,16",9,0,0 / 0,0,2,4,1,24,-
38,Calhanoglu,c,MIL,35,"6,2","7,14",9,0,1 / 1,0,9,6,0,24,-
39,Sensi,c,INT,12,"6,38","7,12",3,0,0 / 0,0,1,2,0,11,-
40,Gabbiadini,a,SAM,32,"6,08","7,11",11,0,1 / 1,0,1,2,0,23,-
41,Bonazzoli,a,SAM,18,"6,14","7,11",6,0,0 / 0,0,0,1,0,15,-
42,Mancosu,c,LEC,33,"5,98","7,09",14,0,9 / 11,0,2,3,0,25,-
43,Young,d,INT,17,"6,18","7,09",4,0,0 / 0,0,4,1,0,21,-
44,Correa,a,LAZ,30,"6,2","7,07",9,0,0 / 1,0,2,0,0,23,-
45,Chiesa,c,FIO,34,"6,21","7,04",10,0,1 / 2,0,5,7,0,23,-
46,Perotti,c,ROM,16,"6,06","7,03",5,0,4 / 4,0,3,3,1,13,-
47,Chiellini,d,JUV,4,"6,25","7,0",1,0,0 / 0,0,0,0,0,7,-
48,Quagliarella,a,SAM,28,"5,96","7,0",11,0,5 / 7,0,3,2,0,22,-
49,Simeone,a,CAG,37,"6,0","7,0",12,0,0 / 0,0,3,4,0,22,-
50,Torregrossa,a,BRE,25,"6,22","6,98",7,0,2 / 2,0,2,8,0,20,-
51,Higuain,a,JUV,30,"6,1","6,97",8,0,0 / 0,0,3,2,0,20,-
52,Malinovskyi,c,ATA,32,"6,30","6,94",8,0,0 / 1,0,3,5,1,21,-
53,Ribery,c,FIO,21,"6,48","6,93",3,0,0 / 0,0,3,3,1,17,-
54,De Paul,c,UDI,34,"6,24","6,90",7,0,0 / 0,0,5,5,1,21,-
55,Caicedo,a,LAZ,28,"6,12","6,89",9,0,0 / 1,0,1,7,0,19,-
56,Candreva,c,INT,30,"6,23","6,88",5,0,0 / 0,0,7,5,0,19,-
57,Falco,a,LEC,29,"6,26","6,88",4,0,0 / 0,0,6,0,0,19,-
58,Di Carmine,a,VER,21,"5,95","6,88",8,0,1 / 2,0,0,3,0,14,-
59,Llorente,a,NAP,11,"6,0","6,86",3,0,0 / 0,0,1,1,0,10,-
60,Insigne,a,NAP,37,"6,09","6,84",8,0,5 / 5,0,4,1,0,22,-
61,Zaniolo,c,ROM,25,"6,2","6,84",6,0,0 / 0,0,2,8,0,16,-
62,Demiral,d,JUV,6,"6,25","6,83",1,0,0 / 0,0,1,1,0,3,-
63,Esposito,a,INT,3,"6,0","6,83",1,0,1 / 1,0,0,1,0,1,-
64,Ramirez,c,SAM,24,"5,96","6,81",7,0,3 / 3,0,2,5,0,17,-
65,Sanabria,a,GEN,23,"6,0","6,80",6,0,0 / 0,0,2,3,0,13,-
66,Rafael Leao,a,MIL,27,"6,09","6,80",6,0,0 / 0,0,1,0,0,16,-
67,Lasagna,a,UDI,36,"5,94","6,79",10,0,0 / 0,0,1,1,0,18,-
68,Pasalic,c,ATA,34,"6,06","6,79",9,0,0 / 0,0,3,6,0,20,-
69,Petagna,a,SPA,36,"5,99","6,78",12,0,5 / 7,0,1,5,0,19,-
70,Palacio,a,BOL,33,"6,08","6,73",7,0,0 / 0,0,3,5,0,19,-
71,Orsolini,a,BOL,37,"5,95","6,72",8,0,0 / 0,0,6,3,0,18,-
72,Hernandez T.,d,MIL,33,"6,32","6,71",6,0,0 / 0,0,2,10,0,20,-
73,Djuricic,c,SAS,27,"6,15","6,70",5,0,0 / 0,0,3,6,0,16,-
74,Veretout,c,ROM,32,"6,23","6,70",6,0,5 / 5,0,0,6,0,17,-
75,Kucka,c,PAR,26,"6,04","6,69",6,0,2 / 2,0,2,4,1,14,-
76,Defrel,a,SAS,17,"6,0","6,68",3,0,1 / 1,0,3,1,0,9,-
77,Milinkovic-Savic,c,LAZ,37,"6,15","6,68",7,0,0 / 0,0,3,9,0,19,-
