,role,player,team,games,fm,cost
23,p,Consigli,SAS,4,"4,75",11.5
24,p,Skorupski,BOL,4,"4,5",10.0
20,p,Vicario,EMP,4,"5,5",8.5
12,d,Skriniar,INT,4,"5,75",25.0
1,d,Ibanez,ROM,4,"7,25",8.5
2,d,Rodrigo Becao,UDI,4,"7,25",8.5
19,d,Ferrari G.,SAS,4,"5,5",7.5
8,d,Rodriguez R.,TOR,4,"6,25",6.5
16,d,Marusic,LAZ,4,"5,62",6.5
22,d,Augello,SAM,4,"5,38",6.5
17,d,Nikolaou,SPE,4,"5,62",4.0
0,c,Zielinski,NAP,4,"7,75",40.0
3,c,Felipe Anderson,LAZ,4,"6,88",31.5
6,c,Candreva,SAL,4,"6,38",17.5
7,c,Lazovic,VER,4,"6,25",15.0
15,c,Tameze,VER,4,"5,75",12.0
10,c,Soriano,BOL,4,"5,88",10.5
18,c,Gyasi,SPE,4,"5,62",10.0
21,c,Marin,EMP,4,"5,5",6.5
4,a,Pinamonti,SAS,4,"6,62",60.0
13,a,Caprari,MON,4,"5,75",41.0
5,a,Deulofeu,UDI,4,"6,5",40.0
9,a,Dzeko,INT,4,"6,12",35.0
14,a,Caputo,SAM,4,"5,75",34.0
11,a,Quagliarella,SAM,4,"5,75",7.5
